"id","url","dialog_message","tasks_duration","num_of_ads","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","C1","C2","C3","C4","C5","C6","C7",
"1","https://www.fincaraiz.com.co/","","2.199087","0","Venta y Arriendo de Apartamentos, Casas y otros Inmuebles en Colombia | Fincaraiz.com.co","Clasificados de Finca Raíz en Colombia. Encuentra o publica tu inmueble Gratis, casas, apartamentos, proyectos de vivienda y demás. noticias inmobiliarias al día","es","index, follow","es-co","Fincaraiz.com.co - Inicio","Clasificados de Finca Raíz en Colombia. Busca tu inmueble.","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","https://www.fincaraiz.com.co/","es_CO","null","null","Realiza tu búsqueda aquí","null","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","null","0","0","0","0","0","0","0",
"2","https://www.fincaraiz.com.co/finca-raiz/bogota/","","3.104943","48","Finca Raíz en Bogotá | fincaraiz.com.co","Clasificados de Finca Raíz en Bogotá, venta y arriendo. Encuentre su inmueble: Proyectos de Vivienda Nueva, Vivienda Usada, Inmuebles Comerciales, otros.","es-CO","index,follow","es-co","Finca Raíz en Bogotá | fincaraiz.com.co","Clasificados de Finca Raíz en Bogotá, venta y arriendo. Encuentre su inmueble: Proyectos de Vivienda Nueva, Vivienda Usada, Inmuebles Comerciales, otros.","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","https://www.fincaraiz.com.co/finca-raiz/bogota/","es_CO","page-content","advert  Product_Code_DON AD_OV","68,559 Anuncios de Finca Raíz en Venta en Bogotá","fincaraiz-branding","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","breadcrumb","48","48","48","48","45","3","3",
"3","https://www.fincaraiz.com.co/apartamentos/arriendo/bogota/","","1.262181","34","Apartamentos en Arriendo en Bogotá, Vivienda Nueva y Usada | Finca Raíz","Apartamentos en Arriendo en Bogotá: Buscas apartamento para arrendar en Bogotá al mejor precio? Compara número de habitaciones, ubicación sector o barrio.","es-CO","index,follow","es-co","Apartamentos en Arriendo en Bogotá, Vivienda Nueva y Usada | Finca Raíz","Apartamentos en Arriendo en Bogotá: Buscas apartamento para arrendar en Bogotá al mejor precio? Compara número de habitaciones, ubicación sector o barrio.","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","https://www.fincaraiz.com.co/apartamentos/arriendo/bogota/","es_CO","page-content","advert  Product_Code_DOV Product_Code_DOVC AD_OV","21,780 Apartamentos  en Arriendo en Bogotá","fincaraiz-branding","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","breadcrumb","34","34","34","34","34","0","0",
"4","https://www.fincaraiz.com.co/apartamentos/venta/bogota/","","2.970198000000001","48","Apartamentos en Venta en Bogotá, Vivienda Nueva y Usada | Finca Raíz","Anuncios de apartamentos en venta en Bogotá: Compare precios, vea sus características, ubicación sector barrio.","es-CO","index,follow","es-co","Apartamentos en Venta en Bogotá, Vivienda Nueva y Usada | Finca Raíz","Anuncios de apartamentos en venta en Bogotá: Compare precios, vea sus características, ubicación sector barrio.","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","https://www.fincaraiz.com.co/apartamentos/venta/bogota/","es_CO","page-content","advert  Product_Code_DON Product_Code_PLA AD_OV","40,796 Apartamentos  en Venta en Bogotá","fincaraiz-branding","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","breadcrumb","48","48","48","48","45","3","3",
"5","https://www.fincaraiz.com.co/client/Client.aspx","","1.8778469999999992","0","Control de acceso | fincaraiz.com.co","","es-CO","noindex, nofollow","es-co","","","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","","es_CO","null","null","null","fincaraiz-branding","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","null","0","0","0","0","0","0","0",
"6","https://www.fincaraiz.com.co/apartaestudios/arriendo/bogota/","","1.9310050000000007","34","Buscar en Fincaraiz: Apartaestudios, Arriendo. Bogotá, Vivienda Nueva y Usada | Finca Raíz","Búsqueda de Apartaestudios en Arriendo. Bogotá","es-CO","index,follow","es-co","Buscar en Fincaraiz: Apartaestudios, Arriendo. Bogotá, Vivienda Nueva y Usada | Finca Raíz","Búsqueda de Apartaestudios en Arriendo. Bogotá","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","https://www.fincaraiz.com.co/apartaestudios/arriendo/bogota/","es_CO","page-content","advert  Product_Code_DOV AD_OV","3,307 Búsqueda | Fincaraiz.com.co | Apartaestudios - Arriendo. Bogotá","fincaraiz-branding","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","breadcrumb","34","34","34","34","34","0","0",
"7","https://www.fincaraiz.com.co/apartamentos/arriendo/medellin/","","2.8882829999999977","34","Apartamentos en Arriendo en Medellín, Vivienda Nueva y Usada | Finca Raíz","Apartamentos en Arriendo en Medellín: Buscas apartamento para arrendar en Medellín al mejor precio? Compara número de habitaciones, ubicación sector o barrio.","es-CO","index,follow","es-co","Apartamentos en Arriendo en Medellín, Vivienda Nueva y Usada | Finca Raíz","Apartamentos en Arriendo en Medellín: Buscas apartamento para arrendar en Medellín al mejor precio? Compara número de habitaciones, ubicación sector o barrio.","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","https://www.fincaraiz.com.co/apartamentos/arriendo/medellin/","es_CO","page-content","advert  Product_Code_DOV AD_OV","10,836 Apartamentos  en Arriendo en Medellín","fincaraiz-branding","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","breadcrumb","34","34","34","34","34","0","0",
"8","https://www.fincaraiz.com.co/casas/venta/bogota/","","1.495833000000001","37","Casas en Venta en Bogotá, Vivienda Nueva y Usada | Finca Raíz","Anuncios de venta de casas en Bogotá. Búsqueda por características: habitaciones, estrato, precio, ubicación sector barrio.","es-CO","index,follow","es-co","Casas en Venta en Bogotá, Vivienda Nueva y Usada | Finca Raíz","Anuncios de venta de casas en Bogotá. Búsqueda por características: habitaciones, estrato, precio, ubicación sector barrio.","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","https://www.fincaraiz.com.co/casas/venta/bogota/","es_CO","page-content","advert  Product_Code_DON Product_Code_DONM AD_OV","16,415 Casas  en Venta en Bogotá","fincaraiz-branding","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","breadcrumb","37","37","37","37","34","3","3",
"9","https://www.fincaraiz.com.co/finca-raiz/cali/","","1.7536850000000008","48","Finca Raíz en Cali | fincaraiz.com.co","Clasificados de Finca Raíz en Cali, venta y arriendo. Encuentre su inmueble: Proyectos de Vivienda Nueva, Vivienda Usada, Inmuebles Comerciales, otros.","es-CO","index,follow","es-co","Finca Raíz en Cali | fincaraiz.com.co","Clasificados de Finca Raíz en Cali, venta y arriendo. Encuentre su inmueble: Proyectos de Vivienda Nueva, Vivienda Usada, Inmuebles Comerciales, otros.","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","https://www.fincaraiz.com.co/finca-raiz/cali/","es_CO","page-content","advert  Product_Code_DONM Product_Code_DON AD_OV","18,035 Anuncios de Finca Raíz en Venta en Cali","fincaraiz-branding","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","breadcrumb","48","48","48","48","45","3","3",
"10","https://www.fincaraiz.com.co/finca-raiz/medellin/","","3.874555000000001","47","Finca Raíz en Medellín | fincaraiz.com.co","Clasificados de Finca Raíz en Medellín, venta y arriendo. Encuentre su inmueble: Proyectos de Vivienda Nueva, Vivienda Usada, Inmuebles Comerciales, otros.","es-CO","index,follow","es-co","Finca Raíz en Medellín | fincaraiz.com.co","Clasificados de Finca Raíz en Medellín, venta y arriendo. Encuentre su inmueble: Proyectos de Vivienda Nueva, Vivienda Usada, Inmuebles Comerciales, otros.","https://www.fincaraiz.com.co/App_Theme/images/landig_page/landing_apps/Logo_app.png","website","https://www.fincaraiz.com.co/finca-raiz/medellin/","es_CO","page-content","advert  Product_Code_DONM Product_Code_DON AD_OV","24,397 Anuncios de Finca Raíz en Venta en Medellín","fincaraiz-branding","Publica GRATIS* en 1 paso","Regístrate","Ingresa","footer","breadcrumb","47","47","47","47","45","2","2",
"id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads","id","url","dialog_message","tasks_duration","num_of_ads",
