id	mSite	Desktop
1	https://m.fincaraiz.com.co/apartamentos/arriendo/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/bogota/
2	https://m.fincaraiz.com.co/apartamentos/venta/bogota/	https://www.fincaraiz.com.co/apartamentos/venta/bogota/
3	https://m.fincaraiz.com.co/apartaestudios/arriendo/bogota/	https://www.fincaraiz.com.co/apartaestudios/arriendo/bogota/
4	https://m.fincaraiz.com.co/casas/venta/bogota/	https://www.fincaraiz.com.co/casas/venta/bogota/
5	https://m.fincaraiz.com.co/apartamentos/arriendo/medellin/	https://www.fincaraiz.com.co/apartamentos/arriendo/medellin/
6	https://m.fincaraiz.com.co/arriendos/bogota/	https://www.fincaraiz.com.co/arriendos/bogota/
7	https://m.fincaraiz.com.co/habitaciones/arriendo/bogota/	https://www.fincaraiz.com.co/habitaciones/arriendo/bogota/
8	https://m.fincaraiz.com.co/finca-raiz/cali/	https://www.fincaraiz.com.co/finca-raiz/cali/
9	https://m.fincaraiz.com.co/finca-raiz/medellin/	https://www.fincaraiz.com.co/finca-raiz/medellin/
10	https://m.fincaraiz.com.co/apartamentos/alquiler/cali/	https://www.fincaraiz.com.co/apartamentos/alquiler/cali/
11	https://m.fincaraiz.com.co/apartaestudios/alquiler/cali/	https://www.fincaraiz.com.co/apartaestudios/alquiler/cali/
12	https://m.fincaraiz.com.co/apartamentos/venta/medellin/	https://www.fincaraiz.com.co/apartamentos/venta/medellin/
13	https://m.fincaraiz.com.co/casas/venta/medellin/	https://www.fincaraiz.com.co/casas/venta/medellin/
14	https://m.fincaraiz.com.co/casas/alquiler/cali/	https://www.fincaraiz.com.co/casas/alquiler/cali/
15	https://m.fincaraiz.com.co/casas/venta/cali/	https://www.fincaraiz.com.co/casas/venta/cali/
16	https://m.fincaraiz.com.co/casas/arriendo/bogota/	https://www.fincaraiz.com.co/casas/arriendo/bogota/
17	https://m.fincaraiz.com.co/apartaestudios/arriendo/medellin/	https://www.fincaraiz.com.co/apartaestudios/arriendo/medellin/
18	https://m.fincaraiz.com.co/habitaciones/arriendo/medellin/	https://www.fincaraiz.com.co/habitaciones/arriendo/medellin/
19	https://m.fincaraiz.com.co/apartamentos/arriendo/bucaramanga/	https://www.fincaraiz.com.co/apartamentos/arriendo/bucaramanga/
20	https://m.fincaraiz.com.co/fincas/venta/cundinamarca/	https://www.fincaraiz.com.co/fincas/venta/cundinamarca/
21	https://m.fincaraiz.com.co/casas/alquiler/palmira/	https://www.fincaraiz.com.co/casas/alquiler/palmira/
22	https://m.fincaraiz.com.co/casas/venta/chia/	https://www.fincaraiz.com.co/casas/venta/chia/
23	https://m.fincaraiz.com.co/apartamentos/arriendo/suba/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/suba/bogota/
24	https://m.fincaraiz.com.co/lotes/venta/cundinamarca/	https://www.fincaraiz.com.co/lotes/venta/cundinamarca/
25	https://m.fincaraiz.com.co/casas/venta/pereira/	https://www.fincaraiz.com.co/casas/venta/pereira/
26	https://m.fincaraiz.com.co/casas/venta/fusagasuga/	https://www.fincaraiz.com.co/casas/venta/fusagasuga/
27	https://m.fincaraiz.com.co/arrendamientos/medellin/	https://www.fincaraiz.com.co/arrendamientos/medellin/
28	https://m.fincaraiz.com.co/apartamentos/arriendo/fontibon/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/fontibon/bogota/
29	https://m.fincaraiz.com.co/casas/venta/ibague/	https://www.fincaraiz.com.co/casas/venta/ibague/
30	https://m.fincaraiz.com.co/casas/arriendo/medellin/	https://www.fincaraiz.com.co/casas/arriendo/medellin/
31	https://m.fincaraiz.com.co/apartamentos/arriendo/norte/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/norte/bogota/
32	https://m.fincaraiz.com.co/habitaciones/alquiler/cali/	https://www.fincaraiz.com.co/habitaciones/alquiler/cali/
33	https://m.fincaraiz.com.co/apartamentos/venta/bucaramanga/	https://www.fincaraiz.com.co/apartamentos/venta/bucaramanga/
34	https://m.fincaraiz.com.co/lotes/venta/bogota/	https://www.fincaraiz.com.co/lotes/venta/bogota/
35	https://m.fincaraiz.com.co/finca-raiz/bucaramanga/	https://www.fincaraiz.com.co/finca-raiz/bucaramanga/
36	https://m.fincaraiz.com.co/apartamentos/arriendo/castilla/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/castilla/bogota/
37	https://m.fincaraiz.com.co/casas/venta/barranquilla/	https://www.fincaraiz.com.co/casas/venta/barranquilla/
38	https://m.fincaraiz.com.co/casas/venta/bucaramanga/	https://www.fincaraiz.com.co/casas/venta/bucaramanga/
39	https://m.fincaraiz.com.co/casas/arriendo/fusagasuga/	https://www.fincaraiz.com.co/casas/arriendo/fusagasuga/
40	https://m.fincaraiz.com.co/casas/venta/villavicencio/	https://www.fincaraiz.com.co/casas/venta/villavicencio/
41	https://m.fincaraiz.com.co/casas/venta/armenia/	https://www.fincaraiz.com.co/casas/venta/armenia/
42	https://m.fincaraiz.com.co/apartamentos/arriendo/pereira/	https://www.fincaraiz.com.co/apartamentos/arriendo/pereira/
43	https://m.fincaraiz.com.co/locales/arriendo/bogota/	https://www.fincaraiz.com.co/locales/arriendo/bogota/
44	https://m.fincaraiz.com.co/habitaciones/arriendo/bucaramanga/	https://www.fincaraiz.com.co/habitaciones/arriendo/bucaramanga/
45	https://m.fincaraiz.com.co/apartamentos/arriendo/manizales/	https://www.fincaraiz.com.co/apartamentos/arriendo/manizales/
46	https://m.fincaraiz.com.co/apartamentos/arriendo/cartagena/	https://www.fincaraiz.com.co/apartamentos/arriendo/cartagena/
47	https://m.fincaraiz.com.co/casas/venta/manizales/	https://www.fincaraiz.com.co/casas/venta/manizales/
48	https://m.fincaraiz.com.co/apartamentos/arriendo/kennedy/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/kennedy/bogota/
49	https://m.fincaraiz.com.co/apartamentos/arriendo/chapinero/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/chapinero/bogota/
50	https://m.fincaraiz.com.co/casas/arriendo/pereira/	https://www.fincaraiz.com.co/casas/arriendo/pereira/
51	https://m.fincaraiz.com.co/apartamentos/arriendo/barranquilla/	https://www.fincaraiz.com.co/apartamentos/arriendo/barranquilla/
52	https://m.fincaraiz.com.co/casas/venta/cajica/	https://www.fincaraiz.com.co/casas/venta/cajica/
53	https://m.fincaraiz.com.co/apartamentos/venta/barranquilla/	https://www.fincaraiz.com.co/apartamentos/venta/barranquilla/
54	https://m.fincaraiz.com.co/apartamentos/arriendo/envigado/	https://www.fincaraiz.com.co/apartamentos/arriendo/envigado/
55	https://m.fincaraiz.com.co/apartamentos/arriendo/bosa/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/bosa/bogota/
56	https://m.fincaraiz.com.co/casas/venta/palmira/	https://www.fincaraiz.com.co/casas/venta/palmira/
57	https://m.fincaraiz.com.co/apartamentos/arriendo/sabaneta/	https://www.fincaraiz.com.co/apartamentos/arriendo/sabaneta/
58	https://m.fincaraiz.com.co/apartamentos/arriendo/sur/bogota/	https://www.fincaraiz.com.co/apartamentos/arriendo/sur/bogota/
59	https://m.fincaraiz.com.co/apartamentos/venta/cartagena/	https://www.fincaraiz.com.co/apartamentos/venta/cartagena/
60	https://m.fincaraiz.com.co/apartaestudios/arriendo/bucaramanga/	https://www.fincaraiz.com.co/apartaestudios/arriendo/bucaramanga/
61	https://m.fincaraiz.com.co/apartamentos/arriendo/pasto/	https://www.fincaraiz.com.co/apartamentos/arriendo/pasto/
